Time,0.5m/s - 8 times - 0.25s delay [T1],0.75 m/s - 8 times - 0.25s delay [T2],0.75 m/s - 8 times - 0.5s delay [T3],Theoretical Velocity [a = 0.3 m/s^2],,Integral of T1,Integral of T2,Integral of T3
0,0,0,0,0,,0.00035,0.00055,0.00055
0.1,0.007,0.011,0.011,0.03,,0.00195,0.002325,0.002275
0.2,0.032,0.0355,0.0345,0.06,,0.00555,0.005575,0.005475
0.3,0.079,0.076,0.075,0.09,,0.009075,0.008775,0.00895
0.4,0.1025,0.0995,0.104,0.12,,0.011475,0.0115,0.011625
0.5,0.127,0.1305,0.1285,0.15,,0.014625,0.01465,0.01465
0.6,0.1655,0.1625,0.1645,0.18,,0.017675,0.01765,0.017875
0.7,0.188,0.1905,0.193,0.21,,0.020375,0.02065,0.0206
0.8,0.2195,0.2225,0.219,0.24,,0.023575,0.023625,0.02355
0.9,0.252,0.25,0.252,0.27,,0.0264,0.0265,0.026725
1,0.276,0.28,0.2825,0.3,,0.0294,0.0295,0.0296
1.1,0.312,0.31,0.3095,0.33,,0.032575,0.032475,0.03245
1.2,0.3395,0.3395,0.3395,0.36,,0.035425,0.035575,0.035475
1.3,0.369,0.372,0.37,0.39,,0.038525,0.03855,0.038425
1.4,0.4015,0.399,0.3985,0.42,,0.04145,0.04135,0.04135
1.5,0.4275,0.428,0.4285,0.45,,0.0443,0.0444,0.0445
1.6,0.4585,0.46,0.4615,0.48,,0.047375,0.047525,0.0473
1.7,0.489,0.4905,0.4845,0.51,,0.049725,0.050375,0.050225
1.8,0.5055,0.517,0.52,0.54,,0.050275,0.053325,0.0535
1.9,0.5,0.5495,0.55,0.57,,0.049775,0.056325,0.056275
2,0.4955,0.577,0.5755,0.6,,0.049275,0.058125,0.05925
2.1,0.49,0.5855,0.6095,0.63,,0.047625,0.057375,0.06235
2.2,0.4625,0.562,0.6375,0.66,,0.0448,0.0549,0.06525
2.3,0.4335,0.536,0.6675,0.69,,0.039825,0.050925,0.0683
2.4,0.363,0.4825,0.6985,0.72,,0.036475,0.0467,0.071175
2.5,0.3665,0.4515,0.725,0.75,,0.03545,0.04445,0.073825
2.6,0.3425,0.4375,0.7515,,,0.0321,0.042675,0.0749
2.7,0.2995,0.416,0.7465,,,0.0285,0.03885,0.07495
2.8,0.2705,0.361,0.7525,,,0.02585,0.03505,0.074975
2.9,0.2465,0.34,0.747,,,0.02365,0.0323,0.074775
3,0.2265,0.306,0.7485,,,0.0207,0.029775,0.074775
3.1,0.1875,0.2895,0.747,,,0.017125,0.027525,0.074675
3.2,0.155,0.261,0.7465,,,0.0139,0.024075,0.0747
3.3,0.123,0.2205,0.7475,,,0.011175,0.020925,0.074975
3.4,0.1005,0.198,0.752,,,0.008675,0.017875,0.075025
3.5,0.073,0.1595,0.7485,,,0.0055,0.014825,0.074925
3.6,0.037,0.137,0.75,,,0.002175,0.012425,0.074875
3.7,0.0065,0.1115,0.7475,,,0.000325,0.009275,0.074675
3.8,0,0.074,0.746,,,0,0.005825,0.074775
3.9,,0.0425,0.7495,,,,0.002875,0.074975
4,,0.015,0.75,,,,0.0008,0.075075
4.1,,0.001,0.7515,,,,0.00005,0.074475
4.2,,0,0.738,,,,,0.0723
4.3,,,0.708,,,0.993,1.17925,0.06935
4.4,,,0.679,,,,,0.066775
4.5,,,0.6565,,,,,0.06365
4.6,,,0.6165,,,,,0.0602
4.7,,,0.5875,,,,,0.057175
4.8,,,0.556,,,,,0.0542
4.9,,,0.528,,,,,0.051375
5,,,0.4995,,,,,0.0484
5.1,,,0.4685,,,,,0.0457
5.2,,,0.4455,,,,,0.043125
5.3,,,0.417,,,,,0.03995
5.4,,,0.382,,,,,0.036525
5.5,,,0.3485,,,,,0.032875
5.6,,,0.309,,,,,0.02965
5.7,,,0.284,,,,,0.027475
5.8,,,0.2655,,,,,0.025175
5.9,,,0.238,,,,,0.021975
6,,,0.2015,,,,,0.018475
6.1,,,0.168,,,,,0.015225
6.2,,,0.1365,,,,,0.0127
6.3,,,0.1175,,,,,0.0103
6.4,,,0.0885,,,,,0.007075
6.5,,,0.053,,,,,0.0038
6.6,,,0.023,,,,,0.00125
6.7,,,0.002,,,,,0.0001
6.8,,,0,,,,,0
,,,,,,,,
,,,,,,,,3.07385
